DateTime	Water_Level(m)
10/27/2012 00:00	0.437
10/27/2012 00:30	0.329
10/27/2012 01:00	0.160
10/27/2012 01:30	0.034
10/27/2012 02:00	-0.108
10/27/2012 02:30	-0.200
10/27/2012 03:00	-0.247
10/27/2012 03:30	-0.283
10/27/2012 04:00	-0.301
10/27/2012 04:30	-0.308
10/27/2012 05:00	-0.249
10/27/2012 05:30	-0.171
10/27/2012 06:00	-0.035
10/27/2012 06:30	0.047
10/27/2012 07:00	0.246
10/27/2012 07:30	0.349
10/27/2012 08:00	0.515
10/27/2012 08:30	0.656
10/27/2012 09:00	0.728
10/27/2012 09:30	0.839
10/27/2012 10:00	0.860
10/27/2012 10:30	0.886
10/27/2012 11:00	0.871
10/27/2012 11:30	0.840
10/27/2012 12:00	0.736
10/27/2012 12:30	0.656
10/27/2012 13:00	0.570
10/27/2012 13:30	0.459
10/27/2012 14:00	0.348
10/27/2012 14:30	0.179
10/27/2012 15:00	0.100
10/27/2012 15:30	-0.029
10/27/2012 16:00	-0.017
10/27/2012 16:30	-0.071
10/27/2012 17:00	-0.086
10/27/2012 17:30	-0.047
10/27/2012 18:00	-0.021
10/27/2012 18:30	0.051
10/27/2012 19:00	0.175
10/27/2012 19:30	0.289
10/27/2012 20:00	0.411
10/27/2012 20:30	0.550
10/27/2012 21:00	0.687
10/27/2012 21:30	0.731
10/27/2012 22:00	0.823
10/27/2012 22:30	0.916
10/27/2012 23:00	0.936
10/27/2012 23:30	0.849
10/28/2012 00:00	0.882
10/28/2012 00:30	0.822
10/28/2012 01:00	0.723
10/28/2012 01:30	0.526
10/28/2012 02:00	0.509
10/28/2012 02:30	0.453
10/28/2012 03:00	0.378
10/28/2012 03:30	0.228
10/28/2012 04:00	0.184
10/28/2012 04:30	0.202
10/28/2012 05:00	0.264
10/28/2012 05:30	0.249
10/28/2012 06:00	0.414
10/28/2012 06:30	0.454
10/28/2012 07:00	0.534
10/28/2012 07:30	0.620
10/28/2012 08:00	0.836
10/28/2012 08:30	0.994
10/28/2012 09:00	1.065
10/28/2012 09:30	1.212
10/28/2012 10:00	1.257
10/28/2012 10:30	1.349
10/28/2012 11:00	1.327
10/28/2012 11:30	1.377
10/28/2012 12:00	1.369
10/28/2012 12:30	1.307
10/28/2012 13:00	1.165
10/28/2012 13:30	1.109
10/28/2012 14:00	0.990
10/28/2012 14:30	0.922
10/28/2012 15:00	0.745
10/28/2012 15:30	0.764
10/28/2012 16:00	0.600
10/28/2012 16:30	0.536
10/28/2012 17:00	0.427
10/28/2012 17:30	0.530
10/28/2012 18:00	0.473
10/28/2012 18:30	0.575
10/28/2012 19:00	0.632
10/28/2012 19:30	0.667
10/28/2012 20:00	0.745
10/28/2012 20:30	0.880
10/28/2012 21:00	1.000
10/28/2012 21:30	1.097
10/28/2012 22:00	1.215
10/28/2012 22:30	1.222
10/28/2012 23:00	1.229
10/28/2012 23:30	1.279
10/29/2012 00:00	1.229
10/29/2012 00:30	1.162
10/29/2012 01:00	1.161
10/29/2012 01:30	1.060
10/29/2012 02:00	0.936
10/29/2012 02:30	0.863
10/29/2012 03:00	0.745
10/29/2012 03:30	0.693
10/29/2012 04:00	0.579
10/29/2012 04:30	0.574
10/29/2012 05:00	0.636
10/29/2012 05:30	0.611
10/29/2012 06:00	0.537
10/29/2012 06:30	0.670
10/29/2012 07:00	0.801
10/29/2012 07:30	0.793
10/29/2012 08:00	1.004
10/29/2012 08:30	1.142
